# Every version that reached main's tip, oldest first. One line per version:
#   version<TAB>date<TAB>source
#
# This file is the authority for "what shipped". It is APPENDED IN THE SAME
# COMMIT AS THE VERSION BUMP, alongside the CHANGELOG entry — see CLAUDE.md's
# "Releasing (two repos)". tests/changelog-coverage.test.js fails the suite when
# the manifest's version is missing here, so the append cannot be forgotten.
#
# Why a recorded file rather than a git walk: reconstructing this from
# `git rev-list --first-parent` is not merely lossy, it is unstable. A branch
# that merges main into itself and then becomes main's tip moves everything main
# carried since the fork point onto the second parent, where the walk never
# looks. Versions therefore LEAVE the reconstructed set as later merges land,
# and the same repository gives contradictory answers depending on which merge
# happened last (#144).
#
# Backfilled 2026-08-06 by unioning the first-parent walks from three refs known
# to have been main's tip (origin/main, 65531d88, 3bf55c68) with the marketplace
# repo's per-commit plugins[0].version — an independent repository, one commit
# per release, written at ship time. `source` records which of those bore
# witness; `release` marks every line appended at ship time since.
1.0.0	2026-02-20	mirror+walk
2.0.0	2026-02-21	mirror+walk
2.2.0	2026-02-21	walk
2.3.0	2026-02-21	walk
2.4.0	2026-02-21	walk
2.5.0	2026-02-22	walk
2.6.0	2026-02-22	walk
2.7.0	2026-02-22	walk
2.8.0	2026-02-22	walk
2.9.0	2026-02-22	walk
3.0.0	2026-02-24	walk
3.0.1	2026-02-24	walk
3.1.0	2026-02-24	walk
3.1.1	2026-02-25	walk
3.2.0	2026-02-25	walk
3.3.0	2026-02-25	walk
3.4.0	2026-02-25	walk
3.5.0	2026-02-25	walk
3.8.0	2026-02-26	walk
3.9.0	2026-02-26	walk
3.10.0	2026-02-27	walk
3.11.0	2026-02-27	walk
3.12.0	2026-02-28	walk
3.13.0	2026-03-01	walk
3.14.0	2026-03-01	walk
3.16.0	2026-03-04	walk
3.18.0	2026-03-06	walk
3.19.0	2026-03-07	walk
3.20.0	2026-03-07	walk
3.20.1	2026-03-07	walk
3.21.0	2026-03-07	walk
3.22.0	2026-03-09	walk
3.23.0	2026-05-01	walk
4.1.0	2026-05-02	walk
4.2.0	2026-05-02	walk
4.3.0	2026-05-03	walk
4.3.1	2026-05-03	walk
4.3.2	2026-05-03	walk
4.4.0	2026-05-03	walk
4.5.0	2026-05-03	walk
4.5.0-phase1	2026-05-03	walk
4.5.0-phase2	2026-05-03	walk
4.5.1	2026-05-03	walk
4.5.2	2026-05-03	walk
4.6.0	2026-05-15	walk
4.6.1	2026-05-15	walk
4.6.2	2026-05-15	walk
4.6.3	2026-05-16	walk
4.6.4	2026-05-16	walk
4.7.0	2026-05-17	walk
4.7.1	2026-05-24	walk
4.8.0	2026-05-24	walk
4.9.0	2026-05-24	walk
4.10.0	2026-05-25	walk
4.11.0	2026-05-25	walk
4.12.0	2026-06-04	walk
4.13.0	2026-06-13	walk
4.13.1	2026-06-13	walk
4.14.0	2026-06-13	walk
4.15.0	2026-06-13	walk
4.17.0	2026-06-14	mirror+walk
4.20.0	2026-06-15	mirror+walk
5.0.0	2026-06-15	mirror+walk
5.1.0	2026-07-03	mirror+walk
5.1.1	2026-07-04	mirror+walk
5.2.0	2026-07-04	mirror+walk
5.3.0	2026-07-04	mirror+walk
5.4.0	2026-07-04	walk
5.5.0	2026-07-04	walk
5.6.0	2026-07-04	walk
5.7.0	2026-07-04	mirror+walk
5.8.0	2026-07-05	mirror+walk
5.9.0	2026-07-06	walk
5.10.0	2026-07-06	mirror+walk
5.11.0	2026-07-06	mirror+walk
5.12.0	2026-07-07	mirror+walk
5.13.0	2026-07-07	walk
5.14.0	2026-07-07	walk
5.15.0	2026-07-07	walk
5.16.0	2026-07-08	mirror+walk
5.17.0	2026-07-08	walk
5.17.1	2026-07-08	walk
5.18.0	2026-07-08	mirror+walk
5.19.0	2026-07-08	mirror+walk
5.19.1	2026-07-08	walk
5.20.0	2026-07-08	walk
5.21.0	2026-07-09	walk
5.22.0	2026-07-09	walk
5.23.0	2026-07-09	mirror+walk
5.24.0	2026-07-09	walk
5.25.0	2026-07-11	mirror+walk
5.25.1	2026-07-11	mirror+walk
5.26.0	2026-07-11	mirror+walk
5.27.0	2026-07-12	walk
5.27.1	2026-07-12	mirror+walk
5.27.2	2026-07-12	walk
5.28.0	2026-07-12	mirror+walk
